zone_id,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
52,77.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,5.0,1.0,4.0,7.0,1.0,4.0,1.0,3.0,0.0,6.0,5.0,4.0,7.0
53,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54,26.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0
55,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,64.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,5.0,2.0,6.0,6.0,7.0,6.0
56,64.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,5.0,2.0,6.0,6.0,7.0,6.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,25.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,4.0,6.0,0.0
61,201.0,17.0,21.0,15.0,8.0,17.0,3.0,1.0,3.0,2.0,2.0,5.0,6.0,3.0,3.0,3.0,9.0,12.0,9.0,6.0,10.0,9.0,16.0,12.0,9.0
62,44.0,6.0,7.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0
63,8.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,194.0,11.0,9.0,9.0,6.0,2.0,3.0,0.0,3.0,3.0,5.0,5.0,5.0,11.0,9.0,11.0,14.0,11.0,6.0,6.0,12.0,11.0,16.0,10.0,16.0
66,190.0,9.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,2.0,3.0,5.0,10.0,22.0,15.0,17.0,13.0,14.0,10.0,6.0,10.0,8.0,11.0,9.0,5.0
67,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
68,4624.0,207.0,190.0,177.0,135.0,92.0,123.0,132.0,141.0,167.0,190.0,287.0,329.0,295.0,256.0,250.0,248.0,184.0,166.0,168.0,157.0,182.0,208.0,214.0,126.0
69,122.0,6.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,0.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,9.0,5.0,11.0,8.0,13.0,12.0,12.0
70,62.0,3.0,3.0,5.0,2.0,5.0,3.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,0.0,0.0,2.0,3.0
71,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
72,22.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0
